Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Miami Heat,23,16,7,0.696,14.6,8.4,106.2,102,4.2,90.3,0.427,0.264,0.559,0.525,15.3,24.6,0.28,0.47,13.8,76.6,0.265
2,Dallas Mavericks,23,14,9,0.609,14.8,8.2,110.2,105.7,4.5,88.9,0.35,0.188,0.54,0.481,12.2,29.2,0.283,0.506,14.2,77.7,0.28
3,Detroit Pistons,18,10,8,0.556,11.2,6.8,107.9,104.2,3.7,84.9,0.382,0.249,0.528,0.478,12,27.9,0.277,0.494,14.7,72.6,0.225
4,Phoenix Suns,20,10,10,0.5,10.8,9.2,113.7,112.5,1.2,92.3,0.259,0.283,0.579,0.538,11.1,19,0.216,0.507,12.4,69.7,0.237
5,Cleveland Cavaliers,13,7,6,0.538,5,8,103.7,107.4,-3.7,85.8,0.322,0.172,0.515,0.465,14.1,30.7,0.246,0.48,12.6,72.1,0.284
6,Los Angeles Clippers,12,7,5,0.583,7.5,4.5,111.6,107.7,3.9,93.1,0.331,0.148,0.571,0.519,14.3,28.6,0.27,0.479,10.2,75.9,0.216
7,San Antonio Spurs,13,7,6,0.538,7.5,5.5,114,111.6,2.4,88.3,0.42,0.207,0.587,0.533,13.2,22.6,0.326,0.486,12,71.1,0.312
8,New Jersey Nets,11,5,6,0.455,5.1,5.9,106.5,107.6,-1.1,88.4,0.351,0.23,0.538,0.487,12.7,24.9,0.267,0.517,15,77.6,0.313
9,Los Angeles Lakers,7,3,4,0.429,2,5,106.5,113.6,-7.1,91.7,0.284,0.258,0.538,0.497,13.8,26.8,0.216,0.543,11.5,84.7,0.251
10,Chicago Bulls,6,2,4,0.333,2.4,3.6,104.2,107.4,-3.2,94.4,0.397,0.26,0.548,0.497,15,21.6,0.295,0.514,14.7,73.2,0.261
11,Indiana Pacers,6,2,4,0.333,2.2,3.8,103.2,107.5,-4.3,86.5,0.386,0.277,0.543,0.491,16.1,23.1,0.289,0.479,12,73.4,0.279
12,Sacramento Kings,6,2,4,0.333,1.3,4.7,108.8,119.5,-10.7,87.9,0.369,0.2,0.536,0.477,12.5,29,0.292,0.566,13.3,75,0.296
13,Washington Wizards,6,2,4,0.333,3,3,109.4,109.2,0.2,89.8,0.424,0.244,0.545,0.488,12.1,26.7,0.316,0.489,14.1,68.3,0.268
14,Denver Nuggets,5,1,4,0.2,1.2,3.8,95,103.2,-8.2,92,0.308,0.159,0.449,0.397,10.8,29.2,0.224,0.493,16.8,76.8,0.297
15,Milwaukee Bucks,5,1,4,0.2,1.1,3.9,110.2,121.1,-10.9,88.5,0.267,0.155,0.545,0.504,12.8,26.6,0.209,0.544,10.5,70.6,0.338
16,Memphis Grizzlies,4,0,4,0,0.4,3.6,99,115.5,-16.5,82.9,0.425,0.18,0.534,0.479,16.9,22,0.308,0.487,12.5,65.4,0.306
